zip檔名	拍數	累積拍數	經名	山圖號
0162-004常10	38	41360	持世經四卷（04）	11877611
0163-001恭01	45	41405	佛說大灌頂神咒經十二卷（01-02）	11877711
0163-002恭02		41405	佛說大灌頂神咒經十二卷（03-04）	11877811
0163-003恭03		41405	佛說大灌頂神咒經十二卷（05-06）	11877911
0163-004恭04	35	41440	佛說大灌頂神咒經十二卷（07-08）	11878011
0163-005恭05	39	41479	佛說大灌頂神咒經十二卷（09-10）	11878111
0163-006恭06	44	41523	佛說大灌頂神咒經十二卷（11-12）	11878211
0164-001恭07		41523	佛說文殊師利現寶藏經二卷（01）	11878311
0164-002恭08	43	41566	佛說文殊師利現寶藏經二卷（02）	11878411
0165-001恭09	39	41605	大方廣寶篋經二卷（01）	11878511
0165-002恭10	45	41650	大方廣寶篋經二卷（02）	11878611
0166-001惟01	23	41673	佛說藥師如來本願經一卷	11878711
0167-001惟02	23	41696	藥師琉璃光如來本願功德經一卷	11878811
0168-001惟03	28	41724	藥師琉璃光七佛本願功德經二卷（01）	11878911
0168-002惟04	27	41751	藥師琉璃光七佛本願功德經二卷（02）	11879011
